DATE	OPEN	HIGH	LOW	CLOSE	RETURN	DISCREPANCY	VOL_INST	VOL_IND	VOL_FOR
2010-04-09	11505	11550	11195	11400	-0.83	0.102209625	-264454	303636	-39182
2010-04-12	11460	11520	11105	11210	-1.67	-0.087612736	-373793	315067	61370
2010-04-13	11245	11270	11030	11175	-0.31	-0.261506743	-152675	49338	99075
2010-04-14	11230	11545	11225	11510	3	-0.063556452	495608	-439052	-53856
2010-04-15	11650	11655	11460	11575	0.56	-0.432163121	-527715	483154	42291
2010-04-16	11520	11555	11280	11410	-1.43	-0.42378798	-310715	353836	-50621
2010-04-19	11180	11290	10985	11020	-3.42	-0.128600287	-339009	349894	-4584
2010-04-20	11120	11225	11070	11165	1.32	-0.131488323	-76731	-177681	237212
2010-04-21	11250	11600	11250	11550	3.45	0.023728573	436155	-462769	34363
2010-04-22	11500	11500	11265	11410	-1.21	-0.608544007	-305943	288108	12886
2010-04-23	11500	11520	11335	11385	-0.22	-0.44639539	46246	141080	-186326
2010-04-26	11550	11750	11505	11630	2.15	-0.336097871	159252	-311175	155923
2010-04-27	11630	11650	11515	11605	-0.21	-0.280726297	-270810	317885	-56186
2010-04-28	11280	11315	11115	11300	-2.63	-0.25941379	-445242	514462	-75809
2010-04-29	11370	11380	11160	11295	-0.04	-0.042567087	-45401	173207	-127806
2010-04-30	11400	11525	11400	11455	1.42	-0.654268181	376358	-381290	29432
2010-05-03	11385	11455	11100	11140	-2.75	-0.060735083	-601893	669453	-80560
2010-05-04	11260	11305	11050	11115	-0.22	-0.312381444	-246122	34467	210655
2010-05-06	10660	11095	10565	10620	-4.45	-0.060885694	-778709	809669	-33960
2010-05-07	10130	10285	9905	10135	-4.57	-0.272957883	-1006637	1216259	-225582
2010-05-10	10240	10525	10215	10500	3.6	-0.506752275	317629	-412231	106602
2010-05-11	10750	10755	10325	10355	-1.38	-0.485033353	-71745	107293	-43485
2010-05-12	10445	10590	10310	10310	-0.43	-0.185880804	108194	-165157	60983
2010-05-13	10510	10800	10510	10695	3.73	-0.836882931	334579	-455968	133389
2010-05-14	10580	10780	10420	10685	-0.09	-0.264343826	596	31038	-31634
2010-05-17	10425	10425	10090	10160	-4.91	-0.744416873	-1318099	1343314	-71615
2010-05-18	10235	10285	9970	10095	-0.64	-0.141453909	-348723	236916	89204
2010-05-19	9965	9970	9630	9845	-2.48	-0.543299275	-1236074	1006670	242232
2010-05-20	9745	9955	9465	9565	-2.84	-0.249558606	-578787	706624	-139622
2010-05-24	9400	9755	9400	9635	0.73	-0.793548646	-14471	-120346	141317
2010-05-25	9485	9485	8975	9120	-5.35	-0.561847369	-1983271	2253842	-338471
2010-05-26	9240	9420	9060	9250	1.43	-0.33702248	148022	-341219	218597
2010-05-27	9140	9620	9100	9570	3.46	-0.872159267	455501	-710934	261933
2010-05-28	9765	9820	9615	9800	2.4	-0.253843789	420776	-457990	37214
2010-05-31	9730	9975	9715	9950	1.53	-4.304195323	422063	-417638	-15425
2010-06-01	9890	9995	9850	9890	-0.6	-0.499714779	314455	-100793	-214662
2010-06-03	10015	10375	9980	10340	4.55	-0.80621333	949973	-1023348	75375
2010-06-04	10365	10400	10260	10360	0.19	-0.850902152	151984	-102919	-53581
2010-06-07	9920	10030	9795	10005	-3.43	-0.587532156	-434723	581159	-136816
2010-06-08	9970	10265	9880	10205	2	-0.65274215	598697	-433709	-182988
2010-06-09	10225	10240	10020	10090	-1.13	-0.399094609	-578244	474295	119949
2010-06-10	10120	10310	10025	10200	1.09	-0.443611554	562747	-514656	-73091
2010-06-11	10425	10550	10315	10500	2.94	-0.294463684	410371	-414781	10360
2010-06-14	10605	10845	10580	10720	2.1	-0.279904633	536700	-470848	-64458
2010-06-15	10750	10825	10620	10740	0.19	-0.368746956	-48171	-29332	77003
2010-06-16	11010	11010	10820	10900	1.49	-0.560238145	-304867	10217	285650
2010-06-17	10905	10975	10865	10905	0.05	-0.481666907	150482	-174976	24494
2010-06-18	10925	10970	10850	10930	0.23	-0.720480466	-9124	-11494	30578
2010-06-21	11100	11360	11090	11295	3.34	-0.171021756	104302	-330678	244026
2010-06-22	11210	11230	11110	11180	-1.02	-0.745562403	-15984	122689	-114535
2010-06-23	11020	11200	11020	11075	-0.94	-0.554470559	519190	-384481	-134809
