"seqno","market","sales","profit","sector","emp","avgsal","avgtenure","kospi","kosdaq"
1,"kosdaq",8.592,2.385,"Service",14,133.625,6.02,0,1
2,"kospi",67.797,590.449,"Finance",155,110.116,2.07,1,0
3,"kospi",8.718,9.011,"Service",9,104.667,2.08,1,0
4,"kospi",27.783,-181.13,"Finance",109,104.321,3.02,1,0
5,"kospi",12332.719,1242.767,"ElecGas",4074,98.815,12.02,1,0
6,"kospi",6.018,646.235,"Finance",157,94.529,2.02,1,0
7,"kospi",43162.401,5273.448,"TranspEquip",59831,94.332,17.05,1,0
8,"kospi",11.757,396.898,"Finance",136,93.721,3.1,1,0
9,"kospi",199.238,18.552,"Finance",888,93.046,5.02,1,0
10,"kospi",757.064,28.892,"Service",868,92.353,13.05,1,0
11,"kospi",160.598,26.283,"Finance",518,92.155,2.06,1,0
12,"kospi",0.585,27.025,"Finance",34,90.869,1.06,1,0
13,"kospi",28007.913,2136.797,"TranspEquip",32756,90.792,17.08,1,0
14,"kospi",5945.49,337.481,"Distn",670,90.513,6.05,1,0
15,"kospi",277.539,62.492,"Finance",834,89.748,6.01,1,0
16,"kospi",2172.795,148.016,"Machinary",1868,88.845,15.02,1,0
17,"kospi",5645.485,135.534,"Finance",278,88.259,7.02,1,0
18,"kosdaq",132.677,11.831,"Service",425,88.009,5.08,0,1
19,"kospi",733.204,376.301,"Service",196,86.332,10.01,1,0
20,"kospi",488.115,-2.13,"Finance",2559,86.315,11.01,1,0
21,"kospi",10183.658,333.381,"Finance",3047,85.876,12.07,1,0
22,"kospi",16698.416,760.484,"Finance",5808,85.472,9.06,1,0
23,"kosdaq",8.459,2.292,"Finance",24,85.208,5.05,0,1
24,"kospi",16865.694,2251.252,"TranspEquip",7085,85,12.09,1,0
25,"kosdaq",1.144,-2.794,"Finance",10,84.9,2.05,0,1
26,"kosdaq",529.749,23.177,"NonMetal",628,84.806,9.06,0,1
27,"kospi",6734.356,71.66,"Distn",260,84.677,11.04,1,0
28,"kospi",706.733,52.155,"Chem",223,84.583,13,1,0
29,"kospi",1885.154,59.643,"ElecGas",578,84.071,16.04,1,0
30,"kospi",17.01,7.345,"Service",24,83.75,2.1,1,0
31,"kospi",645.404,76.859,"Finance",3137,83.674,9.09,1,0
32,"kospi",6.881,53.244,"Finance",44,83.523,1.02,1,0
33,"kospi",58.724,12.201,"Service",43,82.337,8.06,1,0
34,"kospi",8862.78,164.426,"Finance",2981,82.215,11.03,1,0
35,"kospi",4872.725,96.116,"Chem",1358,81.822,11.09,1,0
36,"kospi",3067.679,78.435,"TranspEquip",3877,81.789,18,1,0
37,"kospi",8867.692,518.977,"Service",7249,81.731,4.08,1,0
38,"kospi",1430.857,81.304,"Chem",1099,81.562,10.06,1,0
39,"kospi",782.319,125.433,"Finance",3416,80.828,6.07,1,0
40,"kospi",667.372,99.121,"Finance",3102,80.827,9.02,1,0
41,"kosdaq",116.12,46.332,"Finance",147,80.123,10.01,0,1
42,"kospi",32.479,17.518,"Service",41,79.916,5.05,1,0
43,"kosdaq",197.153,-35.333,"Service",796,79.828,3.1,0,1
44,"kospi",14128.666,791.448,"Steel",8957,79.455,10.06,1,0
45,"kospi",49.955,4.918,"Finance",273,79.159,9.03,1,0
46,"kospi",853.638,57.75,"Service",1262,79,5.06,1,0
47,"kospi",14.245,4.388,"Service",64,78.609,7.09,1,0
48,"kospi",35664.933,2499.523,"Steel",17623,78.576,18,1,0
49,"kospi",1760.998,80.997,"Chem",1624,78.478,14,1,0
50,"kospi",5090.631,84.475,"Distn",286,78.259,12.03,1,0
51,"kospi",785.586,134.31,"Service",2223,78.101,15.07,1,0
52,"kospi",34516.666,505.724,"ElecGas",2999,78.044,14.07,1,0
53,"kospi",70.308,-60.619,"Finance",815,78,6.11,1,0
54,"kospi",1377.619,54.367,"Machinary",1166,77.255,8,1,0
55,"kospi",12565.402,137.026,"TranspEquip",12781,77.194,16.09,1,0
56,"kospi",9991.849,467.219,"Finance",4601,77.179,14.05,1,0
57,"kospi",1534.545,73.944,"TranspEquip",2970,76.835,17.05,1,0
58,"kosdaq",98.187,16.901,"ElecElectron",66,76.788,3.01,0,1
59,"kospi",15.364,131.186,"Finance",38,76.769,2.05,1,0
60,"kospi",9041.85,488.973,"Constr",5420,76.666,8.08,1,0
61,"kospi",3140.669,123.236,"TranspEquip",4192,76.662,14.04,1,0
62,"kospi",14423.916,741.218,"TranspEquip",13504,76.506,12.01,1,0
63,"kospi",1511.391,536.116,"Service",2495,76.345,4.06,1,0
64,"kospi",1248.567,22.803,"ElecGas",327,76.183,15,1,0
65,"kospi",1188.209,37.269,"ElecGas",293,76.15,13.04,1,0
66,"kosdaq",36.265,4.382,"Service",137,76.137,14.1,0,1
67,"kospi",25055.014,1105.092,"TranspEquip",26255,75.456,17.09,1,0
68,"kospi",551.27,56.145,"Service",290,75.387,9.02,1,0
69,"kospi",49334.873,-3226.597,"ElecGas",19568,74.726,18.04,1,0
70,"kospi",2403.815,56.918,"ElecGas",284,74.685,13.11,1,0
71,"kospi",241.94,-56.89,"Finance",1687,74.549,7.07,1,0
72,"kospi",22052.096,935.402,"Finance",6815,74.274,10.09,1,0
73,"kospi",199.242,30.836,"Finance",1001,73.272,3.09,1,0
74,"kospi",15.676,80.435,"Finance",59,73.254,0.9,1,0
75,"kospi",37.521,39.363,"Service",55,72.855,8.08,1,0
76,"kospi",34723.291,580.015,"Chem",2671,72.755,14.09,1,0
77,"kospi",262.573,62.666,"Finance",970,72.713,5.02,1,0
78,"kosdaq",19.093,23.061,"Service",25,72.6,5.04,0,1
79,"kospi",2349.805,953.729,"Service",1881,72.577,9.06,1,0
80,"kospi",4907.778,2547.19,"ElecElectron",7486,72.552,9.08,1,0
81,"kosdaq",8.362,0.303,"Service",14,71.786,4.07,0,1
82,"kosdaq",5.668,-0.999,"Finance",18,71.389,3.02,0,1
83,"kospi",167.304,50.521,"Finance",650,71.263,7.05,1,0
84,"kospi",17241.095,416.125,"Distn",7860,71.237,8.08,1,0
85,"kospi",1528.628,127.084,"Service",4013,71.029,6.03,1,0
86,"kospi",475.302,68.749,"Service",2288,70.86,3.08,1,0
87,"kospi",7713.825,-998.938,"Warehouse",1621,70.681,9.09,1,0
88,"kospi",349.45,18.623,"TranspEquip",271,70.487,10.05,1,0
89,"kospi",461.709,15.332,"TranspEquip",835,70.441,16.04,1,0
90,"kospi",4243.619,-121.316,"Machinary",5467,70.373,12.05,1,0
91,"kospi",595.613,-250.372,"Warehouse",308,70.286,6.09,1,0
92,"kosdaq",5.858,0.444,"Finance",14,70.263,3.01,0,1
93,"kosdaq",57.122,25.972,"Service",150,70.26,15.07,0,1
94,"kospi",4003.285,111.289,"TranspEquip",3671,70.258,15.01,1,0
95,"kospi",7856.769,-205.979,"Machinary",7308,70,12.05,1,0
96,"kospi",2794.855,102.865,"ElecElectron",5023,70,13.04,1,0
97,"kospi",737.526,27.119,"TranspEquip",1055,69.925,19.02,1,0
98,"kospi",646.636,0.228,"TranspEquip",533,69.822,20.05,1,0
99,"kospi",141206.377,17398.53,"ElecElectron",90700,69.7,9,1,0
100,"kospi",657.143,36.954,"Chem",257,69.132,15.05,1,0
101,"kospi",217.154,11.7,"Chem",78,69,10.08,1,0
102,"kospi",1848.372,34.15,"Chem",360,68.969,13.05,1,0
103,"kospi",6253.825,363.794,"TranspEquip",2503,68.917,13,1,0
104,"kospi",2194.081,119.182,"Steel",1531,68.841,15,1,0
105,"kospi",2075.256,-15.042,"Chem",737,68.753,18.07,1,0
106,"kospi",176.526,-11.318,"Finance",946,68.581,10.09,1,0
107,"kospi",25.78,14.311,"Service",77,68.578,7,1,0
