"ccode","cname","gdppcppp","co2pc"
"AFG","Afghanistan",1039.40824176659,0.0548548300184902
"ALB","Albania",6199.92807312988,1.41249821101668
"ARE","United Arab Emirates",84338.3594071577,25.9145872267054
"ARM","Armenia",4716.24327265172,1.44373095511419
"ATG","Antigua and Barbuda",19067.0682963067,4.97431114879186
"AUS","Australia",32559.4592872484,17.1743862651264
"AUT","Austria",34691.2089614866,9.02774620133695
"AZE","Azerbaijan",7169.15043103855,4.09180192686952
"BDI","Burundi",603.265540637776,0.0194113770326055
"BEL","Belgium",33042.8992844792,10.3350958432778
"BEN","Benin",1507.89116059976,0.292647893114482
"BFA","Burkina Faso",1096.68886795956,0.0838753505550506
"BGD","Bangladesh",1724.42770760079,0.26274226906589
"BGR","Bulgaria",10124.0026810955,6.18991912040207
"BHR","Bahrain",39770.7608248512,22.1539052425912
"BHS","Bahamas, The",22602.8862149903,4.85602427386459
"BIH","Bosnia and Herzegovina",6228.99161216605,4.2272056727006
"BLR","Belarus",9662.05424409096,6.11242564420987
"BLZ","Belize",7010.1031910133,1.46276638931936
"BMU","Bermuda",49877.2841082861,6.9162795772672
"BOL","Bolivia",4180.32006779208,1.32247248204326
"BRA","Brazil",10880.5557957258,1.84269049471974
"BRB","Barbados",13421.014347625,4.93817081671308
"BRN","Brunei Darussalam",67366.8338129998,12.7675060584875
"BTN","Bhutan",4060.20167468669,0.608197947364945
"BWA","Botswana",10268.5146696177,2.47679483348471
"CAF","Central African Republic",742.123528099749,0.0524424451278329
"CAN","Canada",35973.4915112799,17.426080620203
"CHE","Switzerland",39152.8734196707,5.56328105723792
"CHL","Chile",12964.8049395778,3.84046304023385
"CHN","China",5053.37904019531,4.4411506949345
"CIV","Cote d'Ivoire",2415.25043660357,0.431561606207393
"CMR","Cameroon",2256.1973583548,0.203913289783929
"COG","Congo, Rep.",4482.45359136926,0.353815464421941
"COL","Colombia",8248.35496067314,1.40798531873252
"COM","Comoros",1250.66924143197,0.177827852422765
"CPV","Cabo Verde",4137.48615863855,0.618610614393198
"CRI","Costa Rica",9624.79691032607,1.61688908935665
"CUB","Cuba",12678.6044781653,2.30940803754392
"CYP","Cyprus",27331.0092493396,7.26591489716111
"CZE","Czech Republic",22286.457189578,11.7624500353337
"DEU","Germany",32184.0552318691,9.6675727883724
"DJI","Djibouti",2025.13427013832,0.541754559959712
"DMA","Dominica",7875.68320543131,1.61147968586091
"DNK","Denmark",34079.9597620429,8.69007693057132
"DOM","Dominican Republic",7899.63819193763,2.01777860291105
"DZA","Algeria",11029.4415169935,3.22015455926011
"ECU","Ecuador",7664.28983081384,2.17746973622288
